title,genre,plot,image_url,director_year
Interstellar,Sci-Fi,A team of explorers travel through a wormhole in space to save humanity from environmental collapse. Explores concepts of time dilation gravity relativity and fatherhood.,https://images.unsplash.com/photo-1451187580459-43490279c0fa?w=500,"Christopher Nolan, 2014"
The Hangover,Comedy,Three friends wake up from a wild bachelor party in Las Vegas with no memory of the night and a missing groom. Chaotic comedy ensues.,https://images.unsplash.com/photo-1514525253161-7a46d19cd819?w=500,"Todd Phillips, 2009"
The Conjuring,Horror,Paranormal investigators work to help a family experiencing terrifying dark entities and haunted houses.,https://images.unsplash.com/photo-1505635552518-3448ff116af3?w=500,"James Wan, 2013"
Inception,Sci-Fi Thriller,A skilled thief steals corporate secrets through dream-sharing technology inside multi-layered dream spaces.,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500,"Christopher Nolan, 2010"
Blade Runner 2049,Sci-Fi Noir,A young blade runner discovers a long-buried secret that leads him to track down former blade runner Rick Deckard.,https://images.unsplash.com/photo-1542204172-e7052809f85e?w=500,"Denis Villeneuve, 2017"
Drive,Crime Thriller,A Hollywood stunt driver who moonlights as a getaway driver finds himself in trouble when he helps his neighbor.,https://images.unsplash.com/photo-1508700115892-45ecd05ae2ad?w=500,"Nicolas Winding Refn, 2011"
La La Land,Musical Romance,A jazz pianist and an aspiring actress fall in love while navigating their creative ambitions and career struggles in Los Angeles.,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=500,"Damien Chazelle, 2016"
The Dark Knight,Action Crime,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham Batman must accept one of the greatest psychological tests of his ability to fight injustice.,https://images.unsplash.com/photo-1478760329108-5c3ed9d495a0?w=500,Christopher Nolan 2008
Pulp Fiction,Crime Drama,The lives of two mob hitmen a boxer a gangster and his wife and a pair of diner bandits intertwine in four tales of violence and redemption.,https://images.unsplash.com/photo-1594909122845-11baa439b7bf?w=500,Quentin Tarantino 1994
Forrest Gump,Drama Romance,The presidencies of Kennedy and Johnson the Vietnam War the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75.,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500,Robert Zemeckis 1994
Goodfellas,Biography Crime,The story of Henry Hill and his life in the mob covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito.,https://images.unsplash.com/photo-1536440136628-849c177e76a1?w=500,Martin Scorsese 1990
The Godfather,Crime Drama,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,https://images.unsplash.com/photo-1505635552518-3448ff116af3?w=500,Francis Ford Coppola 1972
Spirited Away,Animation Adventure,During her family move to the suburbs a sullen 10-year-old girl wanders into a world ruled by gods witches and spirits and where humans are changed into beasts.,https://images.unsplash.com/photo-1607604276583-eef5d076aa5f?w=500,Hayao Miyazaki 2001
Parasite,Thriller Drama,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,https://images.unsplash.com/photo-1535016120720-40c646be5580?w=500,Bong Joon Ho 2019
Whiplash,Drama Music,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student potential.,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=500,Damien Chazelle 2014
The Prestige,Drama Mystery,After a tragic accident two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500,Christopher Nolan 2006
The Departed,Crime Drama,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,https://images.unsplash.com/photo-1422360902398-0a91ff2c1a1f?w=500,Martin Scorsese 2006
Spider-Man Into the Spider-Verse,Animation Action,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,https://images.unsplash.com/photo-1635805737707-575885ab0820?w=500,Peter Ramsey 2018
The Lion King,Animation Adventure,A young lion prince is cast out of his pride by his cruel uncle who claims he killed his father. He grows up beyond the savanna before returning to reclaim his throne.,https://images.unsplash.com/photo-1546182990-dffeafbe841d?w=500,Roger Allers 1994
Joker,Crime Drama,A gritty character study of Arthur Fleck a man disregarded by society who unravels into a cruel criminal mastermind in Gotham City.,https://images.unsplash.com/photo-1534447677768-be436bb09401?w=500,Todd Phillips 2019
Alien,Sci-Fi Horror,The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission on a distant planet.,https://images.unsplash.com/photo-1506703719100-a0f3a48c0f86?w=500,Ridley Scott 1979
The Thing,Sci-Fi Horror,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims causing paranoia to rip through the crew.,https://images.unsplash.com/photo-1483168527879-c66136b56105?w=500,John Carpenter 1982
Coco,Animation Family,Aspiring musician Miguel confronted with his family ancestral ban on music enters the Land of the Dead to find his great-great-grandfather a legendary singer.,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500,Lee Unkrich 2017
Get Out,Horror Mystery,A young African-American visits his white girlfriend parents for the weekend where his simmering uneasiness about their reception of him reaches a boiling point.,https://images.unsplash.com/photo-1509248961158-e54f6934749c?w=500,Jordan Peele 2017
Mad Max Fury Road,Action Sci-Fi,In a post-apocalyptic wasteland a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners and a drifter named Max.,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500,George Miller 2015
The Grand Budapest Hotel,Comedy Drama,A writer relates his adventures at a renowned European resort between the first and second World Wars with a devoted concierge framed for murder.,https://images.unsplash.com/photo-1566073771259-6a8506099945?w=500,Wes Anderson 2014
Arrival,Sci-Fi Drama,A linguist works with the military to communicate with alien craftsmanship that have landed around the Earth before tensions lead to global war.,https://images.unsplash.com/photo-1451187580459-43490279c0fa?w=500,Denis Villeneuve 2016
